set,number,name,title,unique,card type,aspects,cost,traits,ability text,leader unit ability text,arena,power,hp
SOR,208,Outer Rim Headhunter,,FALSE,Unit,Cunning,2,"Fringe,Vehicle,Fighter","Raid 1

On Attack: If you control a leader unit, you may exhaust a non-leader unit.",,1,1,3
SOR,213,Syndicate Lackeys,,FALSE,Unit,Cunning,5,Underworld,Ambush,,0,5,4
SOR,214,Smuggling Compartment,,FALSE,Upgrade,Cunning,1,Modification,"Attach to a Vehicle unit.

Attached unit gains: ""On Attack: Ready a resource.""",,,1,1
SOR,215,Snapshot Reflexes,,FALSE,Upgrade,Cunning,1,Learned,,,,1,1
SOR,217,Shoot First,,FALSE,Event,Cunning,1,Trick,Attack with a unit. It gets +1/+0 for this attack and deals its combat damage before the defender.,,,,
SOR,218,Asteroid Sanctuary,,FALSE,Event,Cunning,2,Trick,"Exhaust an enemy unit.

Give a Shield token to a friendly unit that costs 3 or less.",,,,
SOR,220,Surprise Strike,,FALSE,Event,Cunning,2,Tactic,Attack with a unit. It gets +3/+0 for this attack.,,,,
SOR,221,Outmaneuver,,FALSE,Event,Cunning,3,Tactic,Choose an arena. Exhaust each unit in that arena.,,,,
SOR,222,Waylay,,FALSE,Event,Cunning,3,Trick,Return a non-leader unit to its owner's hand.,,,,
SOR,224,Change of Heart,,FALSE,Event,Cunning,6,Gambit,"Take control of a non-leader unit. At the start of the regroup phase, its owner takes control of it.",,,,
SOR,225,TIE/ln Fighter,,FALSE,Unit,Villainy,1,"Imperial,Vehicle,Fighter",,,1,2,1
SOR,226,Admiral Motti,Brazen and Scornful,TRUE,Unit,Villainy,2,"Imperial,Official",When Defeated: You may ready a {Villainy} unit.,,0,1,1
SOR,227,Snowtrooper Lieutenant,,FALSE,Unit,Villainy,2,"Imperial,Trooper","When Played: You may attack with a unit. If it's an Imperial unit, it gets +2/+0 for this attack.",,0,2,2
SOR,228,Viper Probe Droid,,FALSE,Unit,Villainy,2,"Imperial,Droid",When Played: Look at an opponent's hand.,,0,3,2
SOR,229,Cell Block Guard,,FALSE,Unit,Villainy,3,"Imperial,Trooper",Sentinel,,0,3,3
SOR,230,General Veers,Blizzard Force Commander,TRUE,Unit,Villainy,3,"Imperial,Official",Other friendly Imperial units get +1/+1.,,0,3,3
SOR,231,TIE Advanced,,FALSE,Unit,Villainy,4,"Imperial,Fighter,Vehicle",When Played: Give 2 Experience tokens to another friendly Imperial unit.,,1,3,2
SOR,232,AT-ST,,FALSE,Unit,Villainy,6,"Imperial,Vehicle,Walker",Overwhelm,,0,6,7
SOR,233,I Am Your Father,,FALSE,Event,Villainy,3,Gambit,"Deal 7 damage to an enemy unit unless its controller says ""no."" If they do, draw 3 cards.",,,,
SOR,234,Maximum Firepower,,FALSE,Event,Villainy,4,"Imperial,Tactic","A friendly IMPERIAL unit deals damage equal to its power to a unit.

Then, another friendly IMPERIAL unit deals damage equal to its power to the same unit.",,,,
SOR,235,Galactic Ambition,,FALSE,Event,Villainy,7,Innate,Play a non-{Heroism} unit from your hand for free. Deal damage to your base equal to its cost.,,,,
SOR,236,R2-D2,Ignoring Protocol,TRUE,Unit,Heroism,1,"Rebel,Droid",When Played/On Attack: Look at the top card of your deck. You may put it on the bottom of your deck.,,0,1,4
SOR,237,Alliance X-Wing,,FALSE,Unit,Heroism,2,"Rebel,Vehicle,Fighter",,,1,2,3
SOR,238,C-3PO,Protocol Droid,TRUE,Unit,Heroism,2,"Rebel,Droid","When Played/On Attack: Choose a number, then look at the top card of your deck. If its cost is the chosen number, you may reveal and draw it.",,0,1,4
SOR,239,Rebel Pathfinder,,FALSE,Unit,Heroism,2,"Rebel,Trooper",Saboteur,,0,2,3
SOR,240,Fleet Lieutenant,,FALSE,Unit,Heroism,3,"Rebel,Trooper","When Played: You may attack with a unit. If it's a Rebel unit, it gets +2/+0 for this attack.",,0,3,3
SOR,241,Wing Leader,,FALSE,Unit,Heroism,3,"Rebel,Vehicle,Fighter",When Played: Give 2 Experience tokens to another friendly REBEL unit.,,1,2,1
SOR,242,General Dodonna,Massassi Group Commander,TRUE,Unit,Heroism,4,"Rebel,Official",Other friendly Rebel units get +1/+1.,,0,4,4
SOR,244,Snowspeeder,,FALSE,Unit,Heroism,5,"Rebel,Vehicle,Speeder","Ambush

On Attack: Exhaust an enemy Vehicle ground unit.",,0,3,6
SOR,245,Medal Ceremony,,FALSE,Event,Heroism,0,Rebel,Give an Experience token to each of up to 3 Rebel units that attacked this phase.,,,,
SOR,246,You're My Only Hope,,FALSE,Event,Heroism,3,Gambit,"Look at the top card of your deck. You may play it. It costs {R:5} less. If your base has 5 or less remaining hp, you may play it for free instead.",,,,
SOR,248,Volunteer Soldier,,FALSE,Unit,,3,Trooper,"Raid 1

If you control a Trooper unit, this unit costs {R1} less to play.",,0,2,3
